round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
First round,1991-10-02,Hansa Rostock,Barcelona,Germany,Spain,1,0,,,Ostseestadion,Hansa Rostock,1-0,54.0850095,12.0950945,"Ostseestadion, Germany"
First round,1991-10-02,Flamurtari Vlorë,Göteborg,Albania,Sweden,1,1,,,Flamurtari,,1-1,40.455981,19.4888428,"Flamurtari, Albania"
First round,1991-10-02,Rosenborg,Sampdoria,Norway,Italy,1,2,,,Lerkendal Stadion,Sampdoria,1-2,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
First round,1991-10-02,Marseille,Union Luxembourg,France,Luxembourg,5,0,,,Stade Vélodrome,Marseille,5-0,43.269835,5.3959117,"Stade Vélodrome, France"
First round,1991-10-02,PSV,Beşiktaş,Netherlands,Turkey,2,1,,,PSV Stadion,PSV,2-1,51.4412669,5.468626,"PSV Stadion, Netherlands"
First round,1991-10-02,Austria Wien,Arsenal,Austria,England,1,0,,,Ernst-Happel-Stadion,Austria Wien,1-0,48.2071894,16.4209171,"Ernst-Happel-Stadion, Austria"
First round,1991-10-02,Benfica,Ħamrun Spartans FC,Portugal,Malta,4,0,,,Estádio do SL Benfica,Benfica,4-0,39.6621648,-8.1353519,Portugal
First round,1991-10-02,Dynamo Kyiv,HJK Helsinki,Ukraine,Finland,3,0,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,3-0,49.4871968,31.2718321,Ukraine
First round,1991-10-02,Apollon Limassol,FC U Craiova,Cyprus,Romania,3,0,,,Tsirion Stadium,Apollon Limassol,3-0,34.7012017,33.0232902,"Tsirion Stadium, Cyprus"
First round,1991-10-02,Etar,Kaiserslautern,Bulgaria,Germany,1,1,,,Ivaylo,,1-1,42.2244095,24.325874,"Ivaylo, Bulgaria"
First round,1991-10-02,Panathinaikos,Fram,Greece,Iceland,0,0,,,OACA Spyros Louis,,0-0,38.9953683,21.9877132,Greece
First round,1991-10-02,Rangers,Sparta Prague,Scotland,Czech Republic,2,1,,,Ibrox Stadium,Rangers,2-1,55.8532206,-4.3093239,"Ibrox Stadium, Scotland"
Second round,1991-10-23,Barcelona,Kaiserslautern,Spain,Germany,2,0,,,Camp Nou,Barcelona,2-0,41.3808046,2.1158872,"Camp Nou, Spain"
Second round,1991-10-23,Dynamo Kyiv,Brøndby,Ukraine,Denmark,1,1,,,Stadion Dynamo im. Valeriy Lobanovskiy,,1-1,49.4871968,31.2718321,Ukraine
Second round,1991-10-23,Red Star,Apollon Limassol,Serbia,Cyprus,3,1,,,Stadion Rajko Mitić,Red Star,3-1,44.7832203,20.4646751,"Stadion Rajko Mitić, Serbia"
Second round,1991-10-23,Marseille,Sparta Prague,France,Czech Republic,3,2,,,Stade Vélodrome,Marseille,3-2,43.269835,5.3959117,"Stade Vélodrome, France"
Second round,1991-10-23,Honvéd,Sampdoria,Hungary,Italy,2,1,,,József Bozsik,Honvéd,2-1,46.8236262,17.805596,"József Bozsik, Hungary"
Second round,1991-10-23,Panathinaikos,Göteborg,Greece,Sweden,2,0,,,OACA Spyros Louis,Panathinaikos,2-0,38.9953683,21.9877132,Greece
Second round,1991-10-23,PSV,Anderlecht,Netherlands,Belgium,0,0,,,PSV Stadion,,0-0,51.4412669,5.468626,"PSV Stadion, Netherlands"
Second round,1991-10-23,Benfica,Arsenal,Portugal,England,1,1,,,Estádio do SL Benfica,,1-1,39.6621648,-8.1353519,Portugal
Second round,1991-11-06,Apollon Limassol,Red Star,Cyprus,Serbia,0,2,,,Tsirion Stadium,Red Star,0-2,34.7012017,33.0232902,"Tsirion Stadium, Cyprus"
Second round,1991-11-06,Kaiserslautern,Barcelona,Germany,Spain,3,1,,,Fritz-Walter,Kaiserslautern,3-1,49.4948288,7.9240823,"Fritz-Walter, Germany"
Second round,1991-11-06,Arsenal,Benfica,England,Portugal,1,3,,,Highbury,Benfica,1-3,51.5457996,-0.1027127,"Highbury, England"
Second round,1991-11-06,Sampdoria,Honvéd,Italy,Hungary,3,1,,,Stadio Luigi Ferraris,Sampdoria,3-1,44.4164753,8.9525341,"Stadio Luigi Ferraris, Italy"
Second round,1991-11-06,Sparta Prague,Marseille,Czech Republic,France,2,1,,,Generali Arena,Sparta Prague,2-1,50.0997126,14.4158918,"Generali Arena, Czech Republic"
Second round,1991-11-06,Anderlecht,PSV,Belgium,Netherlands,2,0,,,Constant Vanden Stock Stadium,Anderlecht,2-0,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Second round,1991-11-06,Brøndby,Dynamo Kyiv,Denmark,Ukraine,0,1,,,Brøndby,Dynamo Kyiv,0-1,55.644111,12.4217135,"Brøndby, Denmark"
Second round,1991-11-06,Göteborg,Panathinaikos,Sweden,Greece,2,2,,,Ullevi,,2-2,57.7059197,11.9873276,"Ullevi, Sweden"
Group stage,1991-11-27,Dynamo Kyiv,Benfica,Ukraine,Portugal,1,0,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,1-0,49.4871968,31.2718321,Ukraine
Group stage,1991-11-27,Sampdoria,Red Star,Italy,Serbia,2,0,,,Stadio Luigi Ferraris,Sampdoria,2-0,44.4164753,8.9525341,"Stadio Luigi Ferraris, Italy"
Group stage,1991-11-27,Barcelona,Sparta Prague,Spain,Czech Republic,3,2,,,Camp Nou,Barcelona,3-2,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,1991-11-27,Anderlecht,Panathinaikos,Belgium,Greece,0,0,,,Constant Vanden Stock Stadium,,0-0,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Group stage,1991-12-11,Benfica,Barcelona,Portugal,Spain,0,0,,,Estádio do SL Benfica,,0-0,39.6621648,-8.1353519,Portugal
Group stage,1991-12-11,Panathinaikos,Sampdoria,Greece,Italy,0,0,,,OACA Spyros Louis,,0-0,38.9953683,21.9877132,Greece
Group stage,1991-12-11,Sparta Prague,Dynamo Kyiv,Czech Republic,Ukraine,2,1,,,Generali Arena,Sparta Prague,2-1,50.0997126,14.4158918,"Generali Arena, Czech Republic"
Group stage,1991-12-12,Red Star,Anderlecht,Serbia,Belgium,3,2,,,József Bozsik,Red Star,3-2,44.0243229,21.0765743,Serbia
Group stage,1992-03-04,Dynamo Kyiv,Barcelona,Ukraine,Spain,0,2,,,Stadion Dynamo im. Valeriy Lobanovskiy,Barcelona,0-2,49.4871968,31.2718321,Ukraine
Group stage,1992-03-04,Benfica,Sparta Prague,Portugal,Czech Republic,1,1,,,Estádio do SL Benfica,,1-1,39.6621648,-8.1353519,Portugal
Group stage,1992-03-04,Anderlecht,Sampdoria,Belgium,Italy,3,2,,,Constant Vanden Stock Stadium,Anderlecht,3-2,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Group stage,1992-03-04,Panathinaikos,Red Star,Greece,Serbia,0,2,,,OACA Spyros Louis,Red Star,0-2,38.9953683,21.9877132,Greece
Group stage,1992-03-18,Red Star,Panathinaikos,Serbia,Greece,1,0,,,Narodna Armija,Red Star,1-0,44.0243229,21.0765743,Serbia
Group stage,1992-03-18,Sampdoria,Anderlecht,Italy,Belgium,2,0,,,Stadio Luigi Ferraris,Sampdoria,2-0,44.4164753,8.9525341,"Stadio Luigi Ferraris, Italy"
Group stage,1992-03-18,Sparta Prague,Benfica,Czech Republic,Portugal,1,1,,,Generali Arena,,1-1,50.0997126,14.4158918,"Generali Arena, Czech Republic"
Group stage,1992-03-18,Barcelona,Dynamo Kyiv,Spain,Ukraine,3,0,,,Camp Nou,Barcelona,3-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,1992-04-01,Red Star,Sampdoria,Serbia,Italy,1,3,,,Narodna Armija,Sampdoria,1-3,44.0243229,21.0765743,Serbia
Group stage,1992-04-01,Panathinaikos,Anderlecht,Greece,Belgium,0,0,,,OACA Spyros Louis,,0-0,38.9953683,21.9877132,Greece
Group stage,1992-04-01,Sparta Prague,Barcelona,Czech Republic,Spain,1,0,,,Generali Arena,Sparta Prague,1-0,50.0997126,14.4158918,"Generali Arena, Czech Republic"
Group stage,1992-04-01,Benfica,Dynamo Kyiv,Portugal,Ukraine,5,0,,,Estádio do SL Benfica,Benfica,5-0,39.6621648,-8.1353519,Portugal
Group stage,1992-04-15,Anderlecht,Red Star,Belgium,Serbia,3,2,,,Constant Vanden Stock Stadium,Anderlecht,3-2,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Group stage,1992-04-15,Barcelona,Benfica,Spain,Portugal,2,1,,,Camp Nou,Barcelona,2-1,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,1992-04-15,Sampdoria,Panathinaikos,Italy,Greece,1,1,,,Stadio Luigi Ferraris,,1-1,44.4164753,8.9525341,"Stadio Luigi Ferraris, Italy"
Group stage,1992-04-15,Dynamo Kyiv,Sparta Prague,Ukraine,Czech Republic,1,0,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,1-0,49.4871968,31.2718321,Ukraine
Final,1992-05-20,Sampdoria,Barcelona,Italy,Spain,0,1,,,Wembley (Neutral Site),Barcelona,0-1,51.5560695,-0.2796034,Wembley 
